Freq.	V(vo)/V(vi)
1.85066040231104e+03	2.07772367823929e+01
1.89333613121856e+03	2.07832978053813e+01
1.93699595090552e+03	2.07890946929223e+01
1.98166255423943e+03	2.07946387058557e+01
2.02735915737921e+03	2.07999406461767e+01
2.07410951184211e+03	2.08050108739643e+01
2.12193791684897e+03	2.08098593237509e+01
2.17086923195408e+03	2.08144955205303e+01
2.22092888996636e+03	2.08189285951608e+01
2.27214291016840e+03	2.08231672994914e+01
2.32453791184046e+03	2.08272200208572e+01
2.37814112809617e+03	2.08310947961982e+01
2.43298042003742e+03	2.08347993256730e+01
2.48908429123560e+03	2.08383409859522e+01
2.54648190254672e+03	2.08417268429048e+01
2.60520308726829e+03	2.08449636639513e+01
2.66527836664557e+03	2.08480579299708e+01
2.72673896573550e+03	2.08510158467964e+01
2.78961682963640e+03	2.08538433563448e+01
2.85394464009193e+03	2.08565461472176e+01
2.91975583247792e+03	2.08591296650754e+01
2.98708461318095e+03	2.08615991225466e+01
3.05596597737762e+03	2.08639595088092e+01
3.12643572722385e+03	2.08662155987480e+01
3.19853049046359e+03	2.08683719618631e+01
3.27228773946671e+03	2.08704329707299e+01
3.34774581070577e+03	2.08724028092686e+01
3.42494392468203e+03	2.08742854805749e+01
3.50392220631094e+03	2.08760848144827e+01
3.58472170577764e+03	2.08778044749007e+01
3.66738441987345e+03	2.08794479667186e+01
3.75195331382435e+03	2.08810186426081e+01
3.83847234362285e+03	2.08825197093765e+01
3.92698647887473e+03	2.08839542342377e+01
4.01754172617277e+03	2.08853251507279e+01
4.11018515300932e+03	2.08866352642990e+01
4.20496491224040e+03	2.08878872579833e+01
4.30193026711389e+03	2.08890836974551e+01
4.40113161687485e+03	2.08902270361837e+01
4.50262052296131e+03	2.08913196201376e+01
4.60644973580413e+03	2.08923636925179e+01
4.71267322224487e+03	2.08933613980998e+01
4.82134619358586e+03	2.08943147875326e+01
4.93252513428715e+03	2.08952258214353e+01
5.04626783132520e+03	2.08960963741485e+01
