time;V(/derivated);V(/derivated_pre);V(/derivated_twice);V(/integrated);V(/integrated_pre);V(/rectified);V(/rectified_pre);V(/vi);V(/vi_buffered);V(/vi_offseted);
0,00916413;2,8445;-2,90512;-0,011594;4,15157;-3,25229;-0,000172715;-0,000120408;0;1,1446;1,08408;
0,00916416;2,84446;-2,90508;-0,011594;4,15433;-3,25396;-0,000172689;-0,000120441;0;0,782395;0,847221;
0,00916418;2,84443;-2,9051;-0,0115938;4,15697;-3,25506;-0,00017266;-0,000120492;0;0,494449;0,625704;
0,00916421;2,84441;-2,90522;-0,0115914;4,16018;-3,25591;-0,000172645;-0,000120493;0;0,227462;0,362114;
0,00916423;2,84441;-2,90538;-0,0115868;4,1625;-3,25625;-0,000172637;-0,000120354;0;0,0949247;0,17318;
0,00916424;2,84442;-2,90555;-0,0115803;4,16421;-3,25636;-0,000172615;-0,000120077;0;0,0287565;0,0341674;
0,00916425;2,84444;-2,90579;-0,0115688;4,166;-3,25632;-0,000172538;-0,000119476;0;-0,0156614;-0,110094;
0,00916426;2,84447;-2,90598;-0,0115576;4,16718;-3,25621;-0,000172431;-0,000118805;0;-0,0330187;-0,204076;
0,00916428;2,84451;-2,90623;-0,0115396;4,1685;-3,25598;-0,000172202;-0,000117616;0;-0,0435451;-0,308939;
0,00916429;2,84456;-2,9065;-0,011517;4,16967;-3,25566;-0,000171837;-0,000115984;0;-0,0461753;-0,400679;
0,0091643;2,84461;-2,90678;-0,0114902;4,17067;-3,2553;-0,000171311;-0,000113901;0;-0,0443437;-0,478932;
0,00916431;2,84468;-2,90709;-0,0114557;4,17161;-3,25485;-0,000170512;-0,000111049;0;-0,0398221;-0,552045;
0,00916432;2,84476;-2,90746;-0,0114092;4,17252;-3,2543;-0,000169242;-0,000106954;0;-0,0333274;-0,62295;
0,00916433;2,84487;-2,90787;-0,0113483;4,17334;-3,25367;-0,00016729;-0,000101251;0;-0,0258972;-0,688483;
0,00916434;2,84499;-2,90833;-0,0112706;4,17403;-3,25297;-0,000164397;-9,35695e-05;0;-0,0185505;-0,74651;
0,00916435;2,84515;-2,90884;-0,0111692;4,17459;-3,25221;-0,000160018;-8,29836e-05;0;-0,0117451;-0,798348;
0,00916437;2,84532;-2,90939;-0,0110421;4,17496;-3,25144;-0,000153688;-6,90386e-05;0;-0,00618553;-0,841976;
0,00916438;2,84553;-2,90999;-0,0108813;4,17513;-3,25066;-0,000144485;-5,05421e-05;0;-0,00199412;-0,878479;
0,0091644;2,84577;-2,91062;-0,0106821;4,17508;-3,24991;-0,000131442;-2,66217e-05;0;0,00074468;-0,907822;
0,00916441;2,84594;-2,91102;-0,0105362;4,17494;-3,24948;-0,000120869;-8,55431e-06;0;0,00176785;-0,922721;
0,00916442;2,84614;-2,91149;-0,0103424;4,17465;-3,249;-0,000105538;1,60614e-05;0;0,00242261;-0,937284;
0,00916443;2,84634;-2,91191;-0,0101461;4,17431;-3,24861;-8,86082e-05;4,15917e-05;0;0,00260737;-0,947995;
0,00916444;2,84658;-2,91238;-0,00989116;4,17379;-3,24821;-6,46462e-05;7,5442e-05;0;0,00248454;-0,958018;
0,00916445;2,84681;-2,9128;-0,00963042;4,17323;-3,24787;-3,79386e-05;0,000110742;0;0,00216411;-0,965313;
0,00916447;2,84707;-2,91324;-0,00930371;4,1725;-3,24754;-1,45972e-06;0,000155712;0;0,00168686;-0,971802;
0,00916448;2,84731;-2,91361;-0,00897795;4,17176;-3,24727;3,81118e-05;0,000201159;0;0,00122969;-0,976374;
0,0091645;2,84758;-2,91396;-0,00858213;4,17087;-3,247;9,0396e-05;0,000256908;0;0,000764262;-0,98033;
0,00916451;2,84784;-2,91425;-0,00816295;4,16993;-3,24676;0,00015069;0,000316252;0;0,000394523;-0,983286;
0,00916453;2,84812;-2,9145;-0,00764094;4,16877;-3,24649;0,000232833;0,00039003;0;9,34033e-05;-0,985862;
0,00916455;2,84837;-2,91463;-0,00709925;4,16758;-3,24624;0,000326417;0,000465715;0;-7,31667e-05;-0,987704;
0,00916457;2,84858;-2,91464;-0,00655072;4,16637;-3,24599;0,000430129;0,000540455;0;-0,000136832;-0,989017;
0,00916458;2,84874;-2,91451;-0,00602113;4,16517;-3,24574;0,000539315;0,00060954;0;-0,000135573;-0,989927;
0,0091646;2,84885;-2,91425;-0,00549512;4,16393;-3,24548;0,000657399;0,000673337;0;-0,000101717;-0,990585;
0,00916463;2,84889;-2,9138;-0,0049765;4,16259;-3,24519;0,000784637;0,00072851;0;-5,63324e-05;-0,991054;
0,00916465;2,84884;-2,91304;-0,0044579;4,16101;-3,24485;0,000925526;0,000769546;0;-1,29982e-05;-0,991386;
0,00916469;2,8486;-2,91175;-0,0039909;4,15904;-3,24441;0,00107201;0,000776068;0;1,58018e-05;-0,991595;
0,00916472;2,84812;-2,90992;-0,00377113;4,15692;-3,24392;0,0011683;0,000719101;0;2,20393e-05;-0,991679;
0,00916477;2,84727;-2,9072;-0,00395043;4,15445;-3,24335;0,00116896;0,000565533;0;1,65177e-05;-0,991701;
